series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import,Unnamed: 0,Type,Score,Score Rank,Popularity Rank,Air Date,Studio,Num. of episodes,Genres,Theme(s),Demographic
42361,"Ijiranaide, Nagatoro-san",TV,12,0,12,2022-01-17,0000-00-00,,4,,0,Completed,,0,,LOW,"Vergonha Alheia demais, não é nem que seja ruim, mas pelo amor",0,0,1,default,0,,,,,,,,,,,
50197,"Ijiranaide, Nagatoro-san 2nd Attack",TV,12,0,12,0000-00-00,2023-04-25,,5,,0,Completed,,0,,LOW,O exemplo perfeito do que é Nagatoro é que eu simplesmente esqueci completamente de assistir os 2 últimos episódios kkkkkkk,0,0,1,default,0,,,,,,,,,,,
5231,Inazuma Eleven,TV,127,0,127,0000-00-00,0000-00-00,,4,,0,Completed,,0,,LOW,Não é ruim para um anime de futebol com poderzinho,0,0,1,default,0,1242.0,TV,7.64,1243.0,1047.0,"Oct 5, 2008 to Apr 27, 2011",['OLM'],127.0,['Sports'],"['Super Power', 'Team Sports']",Shounen
13261,Inazuma Eleven Go: Chrono Stone,TV,51,0,51,0000-00-00,0000-00-00,,4,,0,Completed,,0,,LOW,Mais futebol com poderzinho,0,0,1,default,0,,,,,,,,,,,
16774,Inferno Cop,ONA,13,0,13,2023-02-23,2023-02-23,,8,,0,Completed,,0,,LOW,"🥉: Kkkkkkkk, não consigo achar que o cara que inventou essa história estava em suas plenas faculdades mentais, é completamente estúpido e é tão ruim que dá a volta e fica bom",0,0,1,default,0,,,,,,,,,,,
185,Initial D First Stage,TV,26,0,26,0000-00-00,0000-00-00,,8,,0,Completed,,0,,LOW,🥈: Interessante como os personagens conseguem ter uma conversa técnica sobre carros manuais dos anos 90/2000 sem parecer robótico ou te fazer se sentir um leigo idiota,0,0,1,default,0,229.0,TV,8.31,230.0,625.0,"Apr 19, 1998 to Dec 6, 1998","['Gallop', '            Studio Comet']",26.0,"['Action', 'Drama']",['Racing'],Seinen
18,Initial D Fourth Stage,TV,24,0,24,0000-00-00,0000-00-00,,4,,0,Completed,,0,,LOW,"De muito longe o ponto mais fraco da série, é verdadeiramente decepcionante ver a queda na qualidade textual e o rumo por vezes tedioso da história",0,0,1,default,0,377.0,TV,8.15,378.0,1259.0,"Apr 17, 2004 to Feb 18, 2006",['A.C.G.T.'],24.0,"['Action', 'Drama']",['Racing'],Seinen
186,Initial D Second Stage,TV,13,0,13,0000-00-00,0000-00-00,,8,,0,Completed,,0,,LOW,"🥇: Eu sou oficialmente feliz vendo pessoas fazendo drift, obrigado Horizon Chase Turbo e obrigado Takumi seu gado",0,0,1,default,0,391.0,TV,8.14,392.0,1084.0,"Oct 15, 1999 to Jan 21, 2000",['Pastel'],13.0,"['Action', 'Drama']",['Racing'],Seinen
187,Initial D Third Stage,Movie,1,0,1,0000-00-00,0000-00-00,,6,,0,Completed,,0,,LOW,"Realmente um filme muito competente, mesmo que um pouco menos impressionante que o anime",0,0,1,default,0,747.0,Movie,7.88,748.0,1293.0,"Jan 13, 2001",['Studio Deen'],1.0,"['Action', 'Drama', 'Romance']",['Racing'],Seinen
51265,Inu ni Nattara Suki na Hito ni Hirowareta.,TV,12,0,12,2023-01-06,2023-03-24,,1,,0,Completed,,0,,LOW,"Não só é doentio, mas também tem a audácia de TERMINAR EM ABERTO, ESSA DESGRAÇA NÃO SATISFEITA EM ME FAZER VER 12 EPISÓDIOS TERMINA EM ABERTO!",0,0,1,default,0,,,,,,,,,,,
